YEAR,Number of papers
2023,18
2022,28
2021,22
2020,19
2019,28
2018,17
2017,13
2016,16
2015,15
2014,4
2013,11
2012,10
2011,7
2010,3
2009,4
2008,1
2007,2
2005,1
2001,1
1998,1
