Mon Oct 31 16:25:19 2022    profiling_saves/first_profile.stat

         904343 function calls (903380 primitive calls) in 328.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.001    0.000    0.071    0.006 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:77(is_available)
        1    0.000    0.000    0.071    0.071 /content/src/lib/core.py:78(get_device)
     14/8    0.000    0.000    0.071    0.009 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:137(forward)
       16    0.071    0.004    0.071    0.004 {built-in method torch._C._cuda_getDeviceCount}
       16    0.003    0.000    0.070    0.004 /usr/local/lib/python3.7/dist-packages/torchvision/models/resnet.py:89(forward)
      400    0.005    0.000    0.066    0.000 /content/src/lib/loss_functions.py:292(<listcomp>)
       51    0.000    0.000    0.055    0.001 /content/src/lib/sampler.py:154(remove_empty_classes)
       51    0.038    0.001    0.055    0.001 /content/src/lib/sampler.py:160(<listcomp>)
        2    0.000    0.000    0.046    0.023 /usr/lib/python3.7/multiprocessing/process.py:101(start)
        2    0.000    0.000    0.046    0.023 /usr/lib/python3.7/multiprocessing/context.py:221(_Popen)
        2    0.000    0.000    0.046    0.023 /usr/lib/python3.7/multiprocessing/context.py:274(_Popen)
        2    0.000    0.000    0.046    0.023 /usr/lib/python3.7/multiprocessing/popen_fork.py:16(__init__)
        2    0.000    0.000    0.038    0.019 /usr/lib/python3.7/multiprocessing/popen_fork.py:67(_launch)
        2    0.037    0.019    0.037    0.019 {built-in method posix.fork}
       50    0.011    0.000    0.031    0.001 /content/src/lib/sampler.py:170(__new_batch)
        2    0.000    0.000    0.021    0.011 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:108(wrapper)
        2    0.000    0.000    0.021    0.010 /usr/local/lib/python3.7/dist-packages/torch/autograd/grad_mode.py:24(decorate_context)
        2    0.001    0.000    0.021    0.010 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:105(step)
      400    0.012    0.000    0.019    0.000 /content/src/lib/loss_functions.py:56(loss_from_distances)
    10000    0.003    0.000    0.018    0.000 /usr/lib/python3.7/random.py:218(randint)
        7    0.000    0.000    0.017    0.002 /usr/lib/python3.7/threading.py:534(wait)
   159943    0.016    0.000    0.016    0.000 {method 'getrandbits' of '_random.Random' objects}
        2    0.000    0.000    0.016    0.008 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:176(adam)
        2    0.003    0.002    0.016    0.008 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:229(_single_tensor_adam)
    10000    0.006    0.000    0.015    0.000 /usr/lib/python3.7/random.py:174(randrange)
        2    0.000    0.000    0.014    0.007 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:113(forward)
        2    0.014    0.007    0.014    0.007 {built-in method torch._C._nn.linear}
