Wed Feb  1 17:32:48 2023    src/profiling/third_profile.stat

         65671839 function calls (65629444 primitive calls) in 2632.358 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224    0.001    0.000    8.944    0.040 /usr/local/lib/python3.8/dist-packages/torchvision/models/resnet.py:284(forward)
      224    0.013    0.000    8.943    0.040 /usr/local/lib/python3.8/dist-packages/torchvision/models/resnet.py:266(_forward_impl)
        4    8.190    2.047    8.190    2.047 /content/src/lib/metrics.py:398(<dictcomp>)
     4480    0.016    0.000    7.746    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/conv.py:462(forward)
     4480    0.014    0.000    7.721    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/conv.py:454(_conv_forward)
     4480    7.707    0.002    7.707    0.002 {built-in method torch.conv2d}
    21600    0.060    0.000    4.290    0.000 /content/src/lib/loss_functions.py:42(forward)
        9    0.000    0.000    4.098    0.455 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:883(to)
    621/9    0.007    0.000    4.098    0.455 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:639(_apply)
     1594    0.001    0.000    4.079    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:983(convert)
       50    0.001    0.000    4.058    0.081 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:429(backward)
       50    0.001    0.000    4.057    0.081 /usr/local/lib/python3.8/dist-packages/torch/autograd/__init__.py:103(backward)
       50    4.051    0.081    4.051    0.081 {method 'run_backward' of 'torch._C._EngineBase' objects}
       13    0.000    0.000    3.236    0.249 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:422(__iter__)
       13    0.000    0.000    3.236    0.249 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:376(_get_iterator)
       13    0.008    0.001    3.236    0.249 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:987(__init__)
    43200    2.030    0.000    3.198    0.000 /content/src/lib/loss_functions.py:22(distance_function)
    21600    2.551    0.000    3.140    0.000 /content/src/lib/loss_functions.py:312(<listcomp>)
 16942713    2.505    0.000    2.505    0.000 /content/src/lib/utils.py:38(rearrange_indx)
        4    1.762    0.440    1.762    0.441 /content/src/lib/metrics.py:364(<listcomp>)
      276    0.004    0.000    1.674    0.006 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1335(_try_put_index)
       13    0.001    0.000    1.648    0.127 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1074(_reset)
     1055    0.001    0.000    1.644    0.002 {built-in method builtins.next}
      276    0.000    0.000    1.637    0.006 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:617(_next_index)
      298    0.019    0.000    1.637    0.005 /usr/local/lib/python3.8/dist-packages/torch/utils/data/sampler.py:241(__iter__)
        7    0.002    0.000    1.605    0.229 /content/src/lib/sampler.py:63(__iter__)
        7    0.045    0.006    1.603    0.229 /content/src/lib/sampler.py:92(generate_index_sequence)
       26    0.003    0.000    1.496    0.058 /usr/lib/python3.8/multiprocessing/process.py:110(start)
       26    0.001    0.000    1.488    0.057 /usr/lib/python3.8/multiprocessing/context.py:222(_Popen)
       26    0.001    0.000    1.488    0.057 /usr/lib/python3.8/multiprocessing/context.py:274(_Popen)
       26    0.001    0.000    1.486    0.057 /usr/lib/python3.8/multiprocessing/popen_fork.py:15(__init__)
     1152    1.456    0.001    1.462    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1272(__setattr__)
       26    0.011    0.000    1.406    0.054 /usr/lib/python3.8/multiprocessing/popen_fork.py:66(_launch)
       26    1.370    0.053    1.372    0.053 {built-in method posix.fork}
 1568/896    0.013    0.000    1.265    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/container.py:202(forward)
     1792    0.092    0.000    1.246    0.001 /usr/local/lib/python3.8/dist-packages/torchvision/models/resnet.py:89(forward)
  9745006    1.209    0.000    1.209    0.000 {built-in method torch._C._has_torch_function_unary}
    21600    0.697    0.000    1.032    0.000 /content/src/lib/loss_functions.py:57(loss_from_distances)
     4480    0.042    0.000    0.759    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/batchnorm.py:137(forward)
      108    0.727    0.007    0.729    0.007 /content/src/lib/loss_functions.py:170(precompute_negative_class)
    43200    0.673    0.000    0.673    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
      350    0.221    0.001    0.655    0.002 /usr/lib/python3.8/random.py:293(shuffle)
     4480    0.027    0.000    0.642    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:2419(batch_norm)
  4320000    0.604    0.000    0.604    0.000 /content/src/lib/loss_functions.py:358(__resort_dict_idx)
     4480    0.600    0.000    0.600    0.000 {built-in method torch.batch_norm}
    46300    0.525    0.000    0.525    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
        4    0.497    0.124    0.497    0.124 /content/src/lib/metrics.py:340(<listcomp>)
   750875    0.356    0.000    0.492    0.000 /usr/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
        1    0.001    0.001    0.458    0.458 /content/src/lib/filesystem.py:12(save_model)
        1    0.000    0.000    0.456    0.456 /usr/local/lib/python3.8/dist-packages/torch/serialization.py:373(save)
      357    0.001    0.000    0.445    0.001 /content/src/lib/sampler.py:155(remove_empty_classes)
      357    0.312    0.001    0.445    0.001 /content/src/lib/sampler.py:160(<listcomp>)
    21600    0.440    0.000    0.440    0.000 {built-in method torch.argmax}
840652/840628    0.114    0.000    0.384    0.000 {built-in method builtins.len}
       50    0.001    0.000    0.352    0.007 /usr/local/lib/python3.8/dist-packages/torch/optim/optimizer.py:135(wrapper)
       50    0.001    0.000    0.346    0.007 /usr/local/lib/python3.8/dist-packages/torch/optim/optimizer.py:19(_use_grad)
       50    0.010    0.000    0.345    0.007 /usr/local/lib/python3.8/dist-packages/torch/optim/adam.py:168(step)
    21600    0.335    0.000    0.335    0.000 {built-in method torch.relu}
       50    0.000    0.000    0.327    0.007 /usr/local/lib/python3.8/dist-packages/torch/optim/adam.py:257(adam)
       50    0.110    0.002    0.326    0.007 /usr/local/lib/python3.8/dist-packages/torch/optim/adam.py:319(_single_tensor_adam)
        1    0.000    0.000    0.286    0.286 /usr/local/lib/python3.8/dist-packages/torch/serialization.py:303(_open_zipfile_writer)
        1    0.286    0.286    0.286    0.286 /usr/local/lib/python3.8/dist-packages/torch/serialization.py:286(__init__)
      123    0.249    0.002    0.271    0.002 /content/src/lib/utils.py:8(precompute_dict_of_classes)
    45290    0.151    0.000    0.270    0.000 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:890(__len__)
      116    0.002    0.000    0.257    0.002 /usr/local/lib/python3.8/dist-packages/torch/functional.py:1168(cdist)
      116    0.255    0.002    0.255    0.002 {built-in method torch.cdist}
      350    0.083    0.000    0.217    0.001 /content/src/lib/sampler.py:171(__new_batch)
    21600    0.178    0.000    0.178    0.000 {built-in method torch.argmin}
        1    0.126    0.126    0.161    0.161 /usr/local/lib/python3.8/dist-packages/torch/serialization.py:574(_save)
    84346    0.157    0.000    0.157    0.000 {built-in method torch._C._get_tracing_state}
      108    0.145    0.001    0.145    0.001 /content/src/lib/loss_functions.py:288(<listcomp>)
      422    0.004    0.000    0.121    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/interface/interface_sock.py:49(_publish)
    69184    0.121    0.000    0.121    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1256(__getattr__)
    70000    0.022    0.000    0.121    0.000 /usr/lib/python3.8/random.py:244(randint)
      422    0.002    0.000    0.115    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/lib/sock_client.py:218(send_record_publish)
      104    0.001    0.000    0.112    0.001 /usr/lib/python3.8/threading.py:540(wait)
      422    0.001    0.000    0.109    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/lib/sock_client.py:154(send_server_request)
      793    0.002    0.000    0.109    0.000 /usr/lib/python3.8/multiprocessing/popen_fork.py:24(poll)
      422    0.005    0.000    0.108    0.000 /usr/local/lib/python3.8/dist-packages/wandb/sdk/lib/sock_client.py:145(_send_message)
      777    0.106    0.000    0.106    0.000 {built-in method posix.waitpid}
       75    0.001    0.000    0.104    0.001 {built-in method builtins.print}
      150    0.001    0.000    0.103    0.001 /usr/local/lib/python3.8/dist-packages/wandb/sdk/lib/redirect.py:639(write)
   843358    0.103    0.000    0.103    0.000 {method 'get' of 'dict' objects}
