Mon Oct 31 18:50:26 2022    profiling_saves/second_profile.stat

         125222734 function calls (125180456 primitive calls) in 947.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    9.634    0.741 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1509(__del__)
       26    0.000    0.000    9.598    0.369 /usr/lib/python3.7/multiprocessing/process.py:133(join)
       26    0.001    0.000    9.598    0.369 /usr/lib/python3.7/multiprocessing/popen_fork.py:41(wait)
       26    0.001    0.000    9.510    0.366 /usr/lib/python3.7/multiprocessing/connection.py:907(wait)
       26    0.001    0.000    9.507    0.366 /usr/lib/python3.7/selectors.py:402(select)
       26    9.505    0.366    9.506    0.366 {method 'poll' of 'select.poll' objects}
     4480    0.021    0.000    9.437    0.002 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/conv.py:456(forward)
     4480    0.020    0.000    9.405    0.002 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/conv.py:448(_conv_forward)
     4480    9.385    0.002    9.385    0.002 {built-in method torch.conv2d}
        4    9.254    2.313    9.254    2.313 /content/src/lib/metrics.py:391(<dictcomp>)
  9663710    6.176    0.000    6.176    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
       13    0.000    0.000    4.630    0.356 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:431(__iter__)
       13    0.000    0.000    4.630    0.356 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:385(_get_iterator)
       13    0.008    0.001    4.630    0.356 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1037(__init__)
    21600    0.057    0.000    4.430    0.000 /content/src/lib/loss_functions.py:41(forward)
        9    0.000    0.000    4.271    0.475 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:823(to)
    621/9    0.012    0.000    4.271    0.475 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:577(_apply)
     1594    0.001    0.000    4.242    0.003 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:921(convert)
       50    0.001    0.000    3.905    0.078 /usr/local/lib/python3.7/dist-packages/torch/_tensor.py:340(backward)
       50    0.001    0.000    3.905    0.078 /usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:85(backward)
       50    3.892    0.078    3.892    0.078 {method 'run_backward' of 'torch._C._EngineBase' objects}
    21600    0.301    0.000    3.189    0.000 /content/src/lib/loss_functions.py:292(<listcomp>)
       26    0.007    0.000    2.426    0.093 /usr/lib/python3.7/multiprocessing/process.py:101(start)
       26    0.000    0.000    2.418    0.093 /usr/lib/python3.7/multiprocessing/context.py:221(_Popen)
       26    0.001    0.000    2.417    0.093 /usr/lib/python3.7/multiprocessing/context.py:274(_Popen)
       26    0.001    0.000    2.416    0.093 /usr/lib/python3.7/multiprocessing/popen_fork.py:16(__init__)
       26    0.009    0.000    2.324    0.089 /usr/lib/python3.7/multiprocessing/popen_fork.py:67(_launch)
        4    2.272    0.568    2.273    0.568 /content/src/lib/metrics.py:355(<listcomp>)
       26    2.241    0.086    2.247    0.086 {built-in method posix.fork}
 16936931    2.159    0.000    2.159    0.000 /content/src/lib/utils.py:38(rearrange_indx)
      276    0.004    0.000    2.121    0.008 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1378(_try_put_index)
       13    0.001    0.000    2.082    0.160 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1117(_reset)
     1055    0.002    0.000    2.069    0.002 {built-in method builtins.next}
      276    0.000    0.000    2.062    0.007 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:670(_next_index)
      298    0.021    0.000    2.062    0.007 /usr/local/lib/python3.7/dist-packages/torch/utils/data/sampler.py:234(__iter__)
 1568/896    0.019    0.000    2.050    0.002 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:137(forward)
        7    0.002    0.000    2.026    0.289 /content/src/lib/sampler.py:63(__iter__)
     1792    0.158    0.000    2.024    0.001 /usr/local/lib/python3.7/dist-packages/torchvision/models/resnet.py:89(forward)
        7    0.063    0.009    2.023    0.289 /content/src/lib/sampler.py:93(generate_index_sequence)
      108    1.147    0.011    1.150    0.011 /content/src/lib/loss_functions.py:170(precompute_negative_class)
    21600    0.741    0.000    1.118    0.000 /content/src/lib/loss_functions.py:56(loss_from_distances)
     4480    0.058    0.000    1.023    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/batchnorm.py:134(forward)
        4    0.262    0.066    0.994    0.248 /content/src/lib/metrics.py:259(compute_intracluster_distances)
      350    0.290    0.001    0.943    0.003 /usr/lib/python3.7/random.py:264(shuffle)
     4480    0.032    0.000    0.843    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:2407(batch_norm)
  9695528    0.794    0.000    0.794    0.000 {built-in method torch._C._has_torch_function_unary}
     4480    0.792    0.000    0.792    0.000 {built-in method torch.batch_norm}
   750476    0.535    0.000    0.743    0.000 /usr/lib/python3.7/random.py:224(_randbelow)
        4    0.658    0.165    0.658    0.165 /content/src/lib/metrics.py:330(<listcomp>)
        1    0.002    0.002    0.589    0.589 /content/src/lib/filesystem.py:12(save_model)
        1    0.000    0.000    0.585    0.585 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:333(save)
      357    0.001    0.000    0.573    0.002 /content/src/lib/sampler.py:154(remove_empty_classes)
      357    0.390    0.001    0.573    0.002 /content/src/lib/sampler.py:160(<listcomp>)
    21600    0.499    0.000    0.499    0.000 {built-in method torch.argmax}
    21600    0.377    0.000    0.377    0.000 {built-in method torch.relu}
        1    0.000    0.000    0.354    0.354 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:228(_open_file_like)
        1    0.000    0.000    0.354    0.354 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:210(__init__)
        1    0.354    0.354    0.354    0.354 {built-in method io.open}
       50    0.001    0.000    0.338    0.007 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:108(wrapper)
       50    0.001    0.000    0.332    0.007 /usr/local/lib/python3.7/dist-packages/torch/autograd/grad_mode.py:24(decorate_context)
       50    0.010    0.000    0.329    0.007 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:105(step)
      350    0.122    0.000    0.318    0.001 /content/src/lib/sampler.py:170(__new_batch)
       50    0.000    0.000    0.298    0.006 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:176(adam)
       50    0.092    0.002    0.297    0.006 /usr/local/lib/python3.7/dist-packages/torch/optim/adam.py:229(_single_tensor_adam)
      108    0.224    0.002    0.224    0.002 /content/src/lib/loss_functions.py:277(<listcomp>)
        1    0.157    0.157    0.206    0.206 /usr/local/lib/python3.7/dist-packages/torch/serialization.py:528(_save)
       50    0.012    0.000    0.185    0.004 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:216(zero_grad)
    70000    0.030    0.000    0.180    0.000 /usr/lib/python3.7/random.py:218(randint)
    21600    0.170    0.000    0.170    0.000 {built-in method torch.argmin}
     3808    0.012    0.000    0.165    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/activation.py:97(forward)
      123    0.130    0.001    0.160    0.001 /content/src/lib/utils.py:8(precompute_dict_of_classes)
      104    0.001    0.000    0.155    0.001 /usr/lib/python3.7/threading.py:534(wait)
     3808    0.007    0.000    0.152    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1446(relu)
  1114110    0.151    0.000    0.151    0.000 {method 'getrandbits' of '_random.Random' objects}
    70000    0.062    0.000    0.150    0.000 /usr/lib/python3.7/random.py:174(randrange)
     3038    0.150    0.000    0.150    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
   842573    0.148    0.000    0.148    0.000 {method 'get' of 'dict' objects}
     3808    0.143    0.000    0.143    0.000 {built-in method torch.relu_}
    69076    0.133    0.000    0.133    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1194(__getattr__)
     7200    0.128    0.000    0.128    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
      603    0.001    0.000    0.125    0.000 /usr/lib/python3.7/threading.py:1050(_wait_for_tstate_lock)
       13    0.000    0.000    0.123    0.009 /usr/lib/python3.7/threading.py:1012(join)
    51034    0.121    0.000    0.121    0.000 {built-in method torch._C._get_tracing_state}
       75    0.001    0.000    0.120    0.002 {built-in method builtins.print}
      150    0.001    0.000    0.119    0.001 /usr/local/lib/python3.7/dist-packages/wandb/sdk/lib/redirect.py:639(write)
      224    0.001    0.000    0.116    0.001 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:113(forward)
      224    0.114    0.001    0.114    0.001 {built-in method torch._C._nn.linear}
       91    0.001    0.000    0.102    0.001 /usr/local/lib/python3.7/dist-packages/torch/cuda/__init__.py:77(is_available)
       96    0.101    0.001    0.101    0.001 {built-in method torch._C._cuda_getDeviceCount}
       21    0.000    0.000    0.101    0.005 /content/src/lib/core.py:78(get_device)
       52    0.001    0.000    0.100    0.002 /usr/lib/python3.7/threading.py:834(start)
       26    0.001    0.000    0.091    0.003 /usr/lib/python3.7/multiprocessing/util.py:433(_flush_std_streams)
      650    0.003    0.000    0.090    0.000 /usr/local/lib/python3.7/dist-packages/torch/_ops.py:138(__call__)
